strategy_id,symbol,timeframe,direction,pnl,confidence,entry_time
BB_03,XAUUSD,H1,SELL,99.48,0.61,2025-01-01T00:00:00
BB_03,EURUSD,H1,SELL,64.38,0.4,2025-01-01T04:00:00
ADX_05,XAUUSD,H1,SELL,135.73,0.73,2025-01-01T08:00:00
STOCH_06,GBPUSD,H1,SELL,32.65,0.52,2025-01-01T12:00:00
TREND_08,XAUUSD,H1,BUY,-14.86,0.77,2025-01-01T16:00:00
STOCH_06,BTCUSD,H1,BUY,101.84,0.52,2025-01-01T20:00:00
MA_04,XAUUSD,H1,BUY,-86.14,0.94,2025-01-02T00:00:00
MACD_02,GBPUSD,H1,SELL,165.84,0.72,2025-01-02T04:00:00
ICH_07,GBPUSD,H1,SELL,-26.8,0.76,2025-01-02T08:00:00
RSI_01,BTCUSD,H1,SELL,-34.35,0.84,2025-01-02T12:00:00
TREND_08,BTCUSD,H1,BUY,175.24,0.47,2025-01-02T16:00:00
BB_03,GBPUSD,H1,SELL,185.01,0.89,2025-01-02T20:00:00
ICH_07,GBPUSD,H1,BUY,123.1,0.66,2025-01-03T00:00:00
ADX_05,XAUUSD,H1,SELL,129.74,0.69,2025-01-03T04:00:00
MA_04,EURUSD,H1,SELL,-76.75,0.56,2025-01-03T08:00:00
ADX_05,EURUSD,H1,SELL,167.91,0.44,2025-01-03T12:00:00
BB_03,XAUUSD,H1,SELL,108.18,0.79,2025-01-03T16:00:00
MACD_02,GBPUSD,H1,SELL,-0.74,0.66,2025-01-03T20:00:00
RSI_01,XAUUSD,H1,SELL,16.84,0.82,2025-01-04T00:00:00
RSI_01,GBPUSD,H1,SELL,-98.23,0.59,2025-01-04T04:00:00
ICH_07,GBPUSD,H1,BUY,46.47,0.55,2025-01-04T08:00:00
TREND_08,BTCUSD,H1,SELL,0.84,0.77,2025-01-04T12:00:00
ICH_07,XAUUSD,H1,SELL,175.86,0.94,2025-01-04T16:00:00
RSI_01,GBPUSD,H1,BUY,-74.82,0.64,2025-01-04T20:00:00
TREND_08,XAUUSD,H1,BUY,-21.95,0.58,2025-01-05T00:00:00
TREND_08,EURUSD,H1,SELL,128.37,0.61,2025-01-05T04:00:00
ICH_07,EURUSD,H1,BUY,41.09,0.81,2025-01-05T08:00:00
RSI_01,EURUSD,H1,BUY,95.04,0.83,2025-01-05T12:00:00
RSI_01,BTCUSD,H1,BUY,-40.19,0.41,2025-01-05T16:00:00
BB_03,XAUUSD,H1,BUY,42.07,0.46,2025-01-05T20:00:00
MA_04,GBPUSD,H1,SELL,130.07,0.49,2025-01-06T00:00:00
MACD_02,XAUUSD,H1,SELL,-67.57,0.41,2025-01-06T04:00:00
ADX_05,GBPUSD,H1,SELL,182.44,0.51,2025-01-06T08:00:00
MA_04,BTCUSD,H1,SELL,155.09,0.73,2025-01-06T12:00:00
MACD_02,BTCUSD,H1,SELL,59.82,0.76,2025-01-06T16:00:00
MACD_02,EURUSD,H1,BUY,154.87,0.85,2025-01-06T20:00:00
MACD_02,GBPUSD,H1,SELL,90.68,0.86,2025-01-07T00:00:00
BB_03,GBPUSD,H1,BUY,120.14,0.93,2025-01-07T04:00:00
ADX_05,GBPUSD,H1,SELL,30.67,0.8,2025-01-07T08:00:00
ADX_05,EURUSD,H1,BUY,149.22,0.45,2025-01-07T12:00:00
TREND_08,XAUUSD,H1,SELL,70.95,0.77,2025-01-07T16:00:00
STOCH_06,BTCUSD,H1,SELL,155.29,0.5,2025-01-07T20:00:00
MA_04,EURUSD,H1,SELL,2.1,0.88,2025-01-08T00:00:00
ADX_05,BTCUSD,H1,BUY,-74.32,0.8,2025-01-08T04:00:00
TREND_08,XAUUSD,H1,SELL,93.77,0.67,2025-01-08T08:00:00
RSI_01,BTCUSD,H1,SELL,-33.52,0.78,2025-01-08T12:00:00
ADX_05,EURUSD,H1,SELL,66.04,0.59,2025-01-08T16:00:00
STOCH_06,EURUSD,H1,SELL,-18.73,0.54,2025-01-08T20:00:00
MACD_02,XAUUSD,H1,SELL,-64.13,0.69,2025-01-09T00:00:00
BB_03,XAUUSD,H1,BUY,121.58,0.55,2025-01-09T04:00:00
